File Name,Sample Name
20221111-JC-471_HILIC_QC001,qc001-qc-NA-exoA-NA-1-1
20221111-JC-471_HILIC_001,229-CerealRye-1-exoA-15-2-1
20221111-JC-471_HILIC_002,60-Rapeseed-4-exoA-2-3-1
20221111-JC-471_HILIC_003,89-Sorghum-1-exoA-3-4-1
20221111-JC-471_HILIC_004,196-ControlSoil-4-exoA-10-5-1
20221111-JC-471_HILIC_005,207-CerealRye-3-exoA-10-6-1
20221111-JC-471_HILIC_006,180-Rapeseed-4-exoA-7-7-1
20221111-JC-471_HILIC_007,194-ControlSoil-2-exoA-10-8-1
20221111-JC-471_HILIC_QC002,qc002-qc-NA-exoA-NA-9-1
20221111-JC-471_HILIC_008,136-CerealRye-4-exoA-5-10-1
20221111-JC-471_HILIC_009,63-CerealRye-3-exoA-2-11-1
20221111-JC-471_HILIC_010,44-Sorghum-4-exoA-1-12-1
20221111-JC-471_HILIC_011,5-prep.blank-1-exoA-0-13-1
20221111-JC-471_HILIC_012,77-prep.blank-1-exoA-3-14-1
20221111-JC-471_HILIC_013,245-prep.blank-1-exoA-21-15-1
20221111-JC-471_HILIC_014,31-prep.blank-3-exoA-1-16-1
20221111-JC-471_HILIC_QC003,qc003-qc-NA-exoA-NA-17-1
20221111-JC-471_HILIC_015,98-ControlSoil-2-exoA-4-18-1
20221111-JC-471_HILIC_016,236-Sorghum-4-exoA-15-19-1
20221111-JC-471_HILIC_017,215-HairyVetch-3-exoA-10-20-1
20221111-JC-471_HILIC_018,111-CerealRye-3-exoA-4-21-1
20221111-JC-471_HILIC_019,217-ControlSoil-1-exoA-15-22-1
20221111-JC-471_HILIC_020,199-prep.blank-3-exoA-10-23-1
20221111-JC-471_HILIC_021,205-CerealRye-1-exoA-10-24-1
20221111-JC-471_HILIC_QC004,qc004-qc-NA-exoA-NA-25-1
20221111-JC-471_HILIC_022,206-CerealRye-2-exoA-10-26-1
20221111-JC-471_HILIC_023,218-ControlSoil-2-exoA-15-27-1
20221111-JC-471_HILIC_024,121-ControlSoil-1-exoA-5-28-1
20221111-JC-471_HILIC_025,134-CerealRye-2-exoA-5-29-1
20221111-JC-471_HILIC_026,65-Sorghum-1-exoA-2-30-1
20221111-JC-471_HILIC_027,141-HairyVetch-1-exoA-5-31-1
20221111-JC-471_HILIC_028,102-prep.blank-2-exoA-4-32-1
20221111-JC-471_HILIC_QC005,qc005-qc-NA-exoA-NA-33-1
20221111-JC-471_HILIC_029,223-prep.blank-3-exoA-15-34-1
20221111-JC-471_HILIC_030,112-CerealRye-4-exoA-4-35-1
20221111-JC-471_HILIC_031,254-CerealRye-2-exoA-21-36-1
20221111-JC-471_HILIC_032,183-CerealRye-3-exoA-7-37-1
20221111-JC-471_HILIC_033,239-HairyVetch-3-exoA-15-38-1
20221111-JC-471_HILIC_034,14-CerealRye-2-exoA-0-39-1
20221111-JC-471_HILIC_035,17-Sorghum-1-exoA-0-40-1
20221111-JC-471_HILIC_QC006,qc006-qc-NA-exoA-NA-41-1
20221111-JC-471_HILIC_036,118-HairyVetch-2-exoA-4-42-1
20221111-JC-471_HILIC_037,66-Sorghum-2-exoA-2-43-1
20221111-JC-471_HILIC_038,49-ControlSoil-1-exoA-2-44-1
20221111-JC-471_HILIC_039,258-Sorghum-2-exoA-21-45-1
20221111-JC-471_HILIC_040,184-CerealRye-4-exoA-7-46-1
20221111-JC-471_HILIC_041,131-Rapeseed-3-exoA-5-47-1
20221111-JC-471_HILIC_042,123-ControlSoil-3-exoA-5-48-1
20221111-JC-471_HILIC_QC007,qc007-qc-NA-exoA-NA-49-1
20221111-JC-471_HILIC_043,43-Sorghum-3-exoA-1-50-1
20221111-JC-471_HILIC_044,226-Rapeseed-2-exoA-15-51-1
20221111-JC-471_HILIC_045,238-HairyVetch-2-exoA-15-52-1
20221111-JC-471_HILIC_046,110-CerealRye-2-exoA-4-53-1
20221111-JC-471_HILIC_047,70-HairyVetch-2-exoA-2-54-1
20221111-JC-471_HILIC_048,177-Rapeseed-1-exoA-7-55-1
20221111-JC-471_HILIC_049,48-HairyVetch-4-exoA-1-56-1
20221111-JC-471_HILIC_QC008,qc008-qc-NA-exoA-NA-57-1
20221111-JC-471_HILIC_050,253-CerealRye-1-exoA-21-58-1
20221111-JC-471_HILIC_051,64-CerealRye-4-exoA-2-59-1
20221111-JC-471_HILIC_052,26-ControlSoil-2-exoA-1-60-1
20221111-JC-471_HILIC_053,79-prep.blank-3-exoA-3-61-1
20221111-JC-471_HILIC_054,263-HairyVetch-3-exoA-21-62-1
20221111-JC-471_HILIC_055,202-Rapeseed-2-exoA-10-63-1
20221111-JC-471_HILIC_056,240-HairyVetch-4-exoA-15-64-1
20221111-JC-471_HILIC_QC009,qc009-qc-NA-exoA-NA-65-1
20221111-JC-471_HILIC_057,15-CerealRye-3-exoA-0-66-1
20221111-JC-471_HILIC_058,3-ControlSoil-3-exoA-0-67-1
20221111-JC-471_HILIC_059,126-prep.blank-2-exoA-5-68-1
20221111-JC-471_HILIC_060,34-Rapeseed-2-exoA-1-69-1
20221111-JC-471_HILIC_061,144-HairyVetch-4-exoA-5-70-1
20221111-JC-471_HILIC_062,195-ControlSoil-3-exoA-10-71-1
20221111-JC-471_HILIC_063,12-Rapeseed-4-exoA-0-72-1
20221111-JC-471_HILIC_QC010,qc010-qc-NA-exoA-NA-73-1
20221111-JC-471_HILIC_064,105-Rapeseed-1-exoA-4-74-1
20221111-JC-471_HILIC_065,80-prep.blank-4-exoA-3-75-1
20221111-JC-471_HILIC_066,124-ControlSoil-4-exoA-5-76-1
20221111-JC-471_HILIC_067,91-Sorghum-3-exoA-3-77-1
20221111-JC-471_HILIC_068,58-Rapeseed-2-exoA-2-78-1
20221111-JC-471_HILIC_069,230-CerealRye-2-exoA-15-79-1
20221111-JC-471_HILIC_070,52-ControlSoil-4-exoA-2-80-1
20221111-JC-471_HILIC_QC011,qc011-qc-NA-exoA-NA-81-1
20221111-JC-471_HILIC_071,23-HairyVetch-3-exoA-0-82-1
20221111-JC-471_HILIC_072,251-Rapeseed-3-exoA-21-83-1
20221111-JC-471_HILIC_073,6-prep.blank-2-exoA-0-84-1
20221111-JC-471_HILIC_074,74-ControlSoil-2-exoA-3-85-1
20221111-JC-471_HILIC_075,93-HairyVetch-1-exoA-3-86-1
20221111-JC-471_HILIC_076,128-prep.blank-4-exoA-5-87-1
20221111-JC-471_HILIC_077,213-HairyVetch-1-exoA-10-88-1
20221111-JC-471_HILIC_QC012,qc012-qc-NA-exoA-NA-89-1
20221111-JC-471_HILIC_078,101-prep.blank-1-exoA-4-90-1
20221111-JC-471_HILIC_079,190-HairyVetch-2-exoA-7-91-1
20221111-JC-471_HILIC_080,129-Rapeseed-1-exoA-5-92-1
20221111-JC-471_HILIC_081,261-HairyVetch-1-exoA-21-93-1
20221111-JC-471_HILIC_082,179-Rapeseed-3-exoA-7-94-1
20221111-JC-471_HILIC_083,20-Sorghum-4-exoA-0-95-1
20221111-JC-471_HILIC_QC013,qc013-qc-NA-exoA-NA-96-1
20221111-JC-471_HILIC_QC014,qc014-qc-NA-exoA-NA-1-2
20221111-JC-471_HILIC_084,231-CerealRye-3-exoA-15-2-2
20221111-JC-471_HILIC_085,174-prep.blank-2-exoA-7-3-2
20221111-JC-471_HILIC_086,96-HairyVetch-4-exoA-3-4-2
20221111-JC-471_HILIC_087,173-prep.blank-1-exoA-7-5-2
20221111-JC-471_HILIC_088,103-prep.blank-3-exoA-4-6-2
20221111-JC-471_HILIC_089,41-Sorghum-1-exoA-1-7-2
20221111-JC-471_HILIC_090,78-prep.blank-2-exoA-3-8-2
20221111-JC-471_HILIC_QC015,qc015-qc-NA-exoA-NA-9-2
20221111-JC-471_HILIC_091,182-CerealRye-2-exoA-7-10-2
20221111-JC-471_HILIC_092,246-prep.blank-2-exoA-21-11-2
20221111-JC-471_HILIC_093,37-CerealRye-1-exoA-1-12-2
20221111-JC-471_HILIC_094,114-Sorghum-2-exoA-4-13-2
20221111-JC-471_HILIC_095,36-Rapeseed-4-exoA-1-14-2
20221111-JC-471_HILIC_096,189-HairyVetch-1-exoA-7-15-2
20221111-JC-471_HILIC_097,88-CerealRye-4-exoA-3-16-2
20221111-JC-471_HILIC_QC016,qc016-qc-NA-exoA-NA-17-2
20221111-JC-471_HILIC_098,235-Sorghum-3-exoA-15-18-2
20221111-JC-471_HILIC_099,200-prep.blank-4-exoA-10-19-2
20221111-JC-471_HILIC_100,2-ControlSoil-2-exoA-0-20-2
20221111-JC-471_HILIC_101,109-CerealRye-1-exoA-4-21-2
20221111-JC-471_HILIC_102,142-HairyVetch-2-exoA-5-22-2
20221111-JC-471_HILIC_103,125-prep.blank-1-exoA-5-23-2
20221111-JC-471_HILIC_QC017,qc017-qc-NA-exoA-NA-24-2
20221111-JC-471_HILIC_105,127-prep.blank-3-exoA-5-25-2
20221111-JC-471_HILIC_106,85-CerealRye-1-exoA-3-26-2
20221111-JC-471_HILIC_107,29-prep.blank-1-exoA-1-27-2
20221111-JC-471_HILIC_108,68-Sorghum-4-exoA-2-28-2
20221111-JC-471_HILIC_109,172-ControlSoil-4-exoA-7-29-2
20221111-JC-471_HILIC_110,76-ControlSoil-4-exoA-3-30-2
20221111-JC-471_HILIC_111,135-CerealRye-3-exoA-5-31-2
20221111-JC-471_HILIC_QC018,qc018-qc-NA-exoA-NA-32-2
20221111-JC-471_HILIC_112,97-ControlSoil-1-exoA-4-33-2
20221111-JC-471_HILIC_113,221-prep.blank-1-exoA-15-34-2
20221111-JC-471_HILIC_114,45-HairyVetch-1-exoA-1-35-2
20221111-JC-471_HILIC_115,185-Sorghum-1-exoA-7-36-2
20221111-JC-471_HILIC_116,86-CerealRye-2-exoA-3-37-2
20221111-JC-471_HILIC_117,204-Rapeseed-4-exoA-10-38-2
20221111-JC-471_HILIC_118,38-CerealRye-2-exoA-1-39-2
20221111-JC-471_HILIC_QC019,qc019-qc-NA-exoA-NA-40-2
20221111-JC-471_HILIC_119,212-Sorghum-4-exoA-10-41-2
20221111-JC-471_HILIC_120,81-Rapeseed-1-exoA-3-42-2
20221111-JC-471_HILIC_121,71-HairyVetch-3-exoA-2-43-2
20221111-JC-471_HILIC_122,133-CerealRye-1-exoA-5-44-2
20221111-JC-471_HILIC_123,22-HairyVetch-2-exoA-0-45-2
20221111-JC-471_HILIC_124,139-Sorghum-3-exoA-5-46-2
20221111-JC-471_HILIC_125,247-prep.blank-3-exoA-21-47-2
20221111-JC-471_HILIC_QC020,qc020-qc-NA-exoA-NA-48-2
20221111-JC-471_HILIC_126,46-HairyVetch-2-exoA-1-49-2
20221111-JC-471_HILIC_127,51-ControlSoil-3-exoA-2-50-2
20221111-JC-471_HILIC_128,1-ControlSoil-1-exoA-0-51-2
20221111-JC-471_HILIC_129,228-Rapeseed-4-exoA-15-52-2
20221111-JC-471_HILIC_130,120-HairyVetch-4-exoA-4-53-2
20221111-JC-471_HILIC_131,192-HairyVetch-4-exoA-7-54-2
20221111-JC-471_HILIC_132,21-HairyVetch-1-exoA-0-55-2
20221111-JC-471_HILIC_QC021,qc021-qc-NA-exoA-NA-56-2
20221111-JC-471_HILIC_133,243-ControlSoil-3-exoA-21-57-2
20221111-JC-471_HILIC_134,132-Rapeseed-4-exoA-5-58-2
20221111-JC-471_HILIC_135,84-Rapeseed-4-exoA-3-59-2
20221111-JC-471_HILIC_136,140-Sorghum-4-exoA-5-60-2
20221111-JC-471_HILIC_137,72-HairyVetch-4-exoA-2-61-2
20221111-JC-471_HILIC_138,214-HairyVetch-2-exoA-10-62-2
20221111-JC-471_HILIC_139,137-Sorghum-1-exoA-5-63-2
20221111-JC-471_HILIC_QC022,qc022-qc-NA-exoA-NA-64-2
20221111-JC-471_HILIC_140,56-prep.blank-4-exoA-2-65-2
20221111-JC-471_HILIC_141,252-Rapeseed-4-exoA-21-66-2
20221111-JC-471_HILIC_142,32-prep.blank-4-exoA-1-67-2
20221111-JC-471_HILIC_143,33-Rapeseed-1-exoA-1-68-2
20221111-JC-471_HILIC_144,250-Rapeseed-2-exoA-21-69-2
20221111-JC-471_HILIC_145,113-Sorghum-1-exoA-4-70-2
20221111-JC-471_HILIC_146,188-Sorghum-4-exoA-7-71-2
20221111-JC-471_HILIC_QC023,qc023-qc-NA-exoA-NA-72-2
20221111-JC-471_HILIC_147,95-HairyVetch-3-exoA-3-73-2
20221111-JC-471_HILIC_148,116-Sorghum-4-exoA-4-74-2
20221111-JC-471_HILIC_149,8-prep.blank-4-exoA-0-75-2
20221111-JC-471_HILIC_150,208-CerealRye-4-exoA-10-76-2
20221111-JC-471_HILIC_151,234-Sorghum-2-exoA-15-77-2
20221111-JC-471_HILIC_152,107-Rapeseed-3-exoA-4-78-2
20221111-JC-471_HILIC_153,264-HairyVetch-4-exoA-21-79-2
20221111-JC-471_HILIC_QC024,qc024-qc-NA-exoA-NA-80-2
20221111-JC-471_HILIC_154,7-prep.blank-3-exoA-0-81-2
20221111-JC-471_HILIC_155,28-ControlSoil-4-exoA-1-82-2
20221111-JC-471_HILIC_156,16-CerealRye-4-exoA-0-83-2
20221111-JC-471_HILIC_157,13-CerealRye-1-exoA-0-84-2
20221111-JC-471_HILIC_158,47-HairyVetch-3-exoA-1-85-2
20221111-JC-471_HILIC_159,40-CerealRye-4-exoA-1-86-2
20221111-JC-471_HILIC_160,27-ControlSoil-3-exoA-1-87-2
20221111-JC-471_HILIC_QC025,qc025-qc-NA-exoA-NA-88-2
20221111-JC-471_HILIC_161,90-Sorghum-2-exoA-3-89-2
20221111-JC-471_HILIC_162,224-prep.blank-4-exoA-15-90-2
20221111-JC-471_HILIC_163,257-Sorghum-1-exoA-21-91-2
20221111-JC-471_HILIC_164,225-Rapeseed-1-exoA-15-92-2
20221111-JC-471_HILIC_165,249-Rapeseed-1-exoA-21-93-2
20221111-JC-471_HILIC_166,216-HairyVetch-4-exoA-10-94-2
20221111-JC-471_HILIC_QC026,qc026-qc-NA-exoA-NA-95-2
20221111-JC-471_HILIC_QC027,qc027-qc-NA-exoA-NA-1-3
20221111-JC-471_HILIC_167,87-CerealRye-3-exoA-3-2-3
20221111-JC-471_HILIC_168,10-Rapeseed-2-exoA-0-3-3
20221111-JC-471_HILIC_169,104-prep.blank-4-exoA-4-4-3
20221111-JC-471_HILIC_170,175-prep.blank-3-exoA-7-5-3
20221111-JC-471_HILIC_171,11-Rapeseed-3-exoA-0-6-3
20221111-JC-471_HILIC_172,178-Rapeseed-2-exoA-7-7-3
20221111-JC-471_HILIC_173,256-CerealRye-4-exoA-21-8-3
20221111-JC-471_HILIC_QC028,qc028-qc-NA-exoA-NA-9-3
20221111-JC-471_HILIC_174,130-Rapeseed-2-exoA-5-10-3
20221111-JC-471_HILIC_175,53-prep.blank-1-exoA-2-11-3
20221111-JC-471_HILIC_176,39-CerealRye-3-exoA-1-12-3
20221111-JC-471_HILIC_177,50-ControlSoil-2-exoA-2-13-3
20221111-JC-471_HILIC_178,237-HairyVetch-1-exoA-15-14-3
20221111-JC-471_HILIC_179,99-ControlSoil-3-exoA-4-15-3
20221111-JC-471_HILIC_180,186-Sorghum-2-exoA-7-16-3
20221111-JC-471_HILIC_QC029,qc029-qc-NA-exoA-NA-17-3
20221111-JC-471_HILIC_182,170-ControlSoil-2-exoA-7-18-3
20221111-JC-471_HILIC_183,119-HairyVetch-3-exoA-4-19-3
20221111-JC-471_HILIC_184,57-Rapeseed-1-exoA-2-20-3
20221111-JC-471_HILIC_185,18-Sorghum-2-exoA-0-21-3
20221111-JC-471_HILIC_186,100-ControlSoil-4-exoA-4-22-3
20221111-JC-471_HILIC_187,30-prep.blank-2-exoA-1-23-3
20221111-JC-471_HILIC_QC030,qc030-qc-NA-exoA-NA-24-3
20221111-JC-471_HILIC_188,169-ControlSoil-1-exoA-7-25-3
20221111-JC-471_HILIC_189,262-HairyVetch-2-exoA-21-26-3
20221111-JC-471_HILIC_190,220-ControlSoil-4-exoA-15-27-3
20221111-JC-471_HILIC_191,83-Rapeseed-3-exoA-3-28-3
20221111-JC-471_HILIC_192,143-HairyVetch-3-exoA-5-29-3
20221111-JC-471_HILIC_193,69-HairyVetch-1-exoA-2-30-3
20221111-JC-471_HILIC_194,233-Sorghum-1-exoA-15-31-3
20221111-JC-471_HILIC_QC031,qc031-qc-NA-exoA-NA-32-3
20221111-JC-471_HILIC_195,181-CerealRye-1-exoA-7-33-3
20221111-JC-471_HILIC_196,9-Rapeseed-1-exoA-0-34-3
20221111-JC-471_HILIC_197,54-prep.blank-2-exoA-2-35-3
20221111-JC-471_HILIC_198,209-Sorghum-1-exoA-10-36-3
20221111-JC-471_HILIC_199,94-HairyVetch-2-exoA-3-37-3
20221111-JC-471_HILIC_200,244-ControlSoil-4-exoA-21-38-3
20221111-JC-471_HILIC_201,75-ControlSoil-3-exoA-3-39-3
20221111-JC-471_HILIC_QC032,qc032-qc-NA-exoA-NA-40-3
20221111-JC-471_HILIC_202,198-prep.blank-2-exoA-10-41-3
20221111-JC-471_HILIC_203,138-Sorghum-2-exoA-5-42-3
20221111-JC-471_HILIC_204,108-Rapeseed-4-exoA-4-43-3
20221111-JC-471_HILIC_205,248-prep.blank-4-exoA-21-44-3
20221111-JC-471_HILIC_206,73-ControlSoil-1-exoA-3-45-3
20221111-JC-471_HILIC_207,197-prep.blank-1-exoA-10-46-3
20221111-JC-471_HILIC_208,176-prep.blank-4-exoA-7-47-3
20221111-JC-471_HILIC_QC033,qc033-qc-NA-exoA-NA-48-3
20221111-JC-471_HILIC_209,24-HairyVetch-4-exoA-0-49-3
20221111-JC-471_HILIC_210,55-prep.blank-3-exoA-2-50-3
20221111-JC-471_HILIC_211,227-Rapeseed-3-exoA-15-51-3
20221111-JC-471_HILIC_212,242-ControlSoil-2-exoA-21-52-3
20221111-JC-471_HILIC_213,255-CerealRye-3-exoA-21-53-3
20221111-JC-471_HILIC_214,42-Sorghum-2-exoA-1-54-3
20221111-JC-471_HILIC_QC034,qc034-qc-NA-exoA-NA-55-3
20221111-JC-471_HILIC_216,25-ControlSoil-1-exoA-1-56-3
20221111-JC-471_HILIC_217,187-Sorghum-3-exoA-7-57-3
20221111-JC-471_HILIC_218,241-ControlSoil-1-exoA-21-58-3
20221111-JC-471_HILIC_219,171-ControlSoil-3-exoA-7-59-3
20221111-JC-471_HILIC_220,117-HairyVetch-1-exoA-4-60-3
20221111-JC-471_HILIC_221,115-Sorghum-3-exoA-4-61-3
20221111-JC-471_HILIC_222,193-ControlSoil-1-exoA-10-62-3
20221111-JC-471_HILIC_QC035,qc035-qc-NA-exoA-NA-63-3
20221111-JC-471_HILIC_223,92-Sorghum-4-exoA-3-64-3
20221111-JC-471_HILIC_224,4-ControlSoil-4-exoA-0-65-3
20221111-JC-471_HILIC_225,259-Sorghum-3-exoA-21-66-3
20221111-JC-471_HILIC_226,59-Rapeseed-3-exoA-2-67-3
20221111-JC-471_HILIC_227,203-Rapeseed-3-exoA-10-68-3
20221111-JC-471_HILIC_228,260-Sorghum-4-exoA-21-69-3
20221111-JC-471_HILIC_229,210-Sorghum-2-exoA-10-70-3
20221111-JC-471_HILIC_QC036,qc036-qc-NA-exoA-NA-71-3
20221111-JC-471_HILIC_230,222-prep.blank-2-exoA-15-72-3
20221111-JC-471_HILIC_231,61-CerealRye-1-exoA-2-73-3
20221111-JC-471_HILIC_232,122-ControlSoil-2-exoA-5-74-3
20221111-JC-471_HILIC_233,67-Sorghum-3-exoA-2-75-3
20221111-JC-471_HILIC_235,82-Rapeseed-2-exoA-3-76-3
20221111-JC-471_HILIC_236,19-Sorghum-3-exoA-0-77-3
20221111-JC-471_HILIC_QC037,qc037-qc-NA-exoA-NA-78-3
20221111-JC-471_HILIC_237,232-CerealRye-4-exoA-15-79-3
20221111-JC-471_HILIC_238,211-Sorghum-3-exoA-10-80-3
20221111-JC-471_HILIC_239,106-Rapeseed-2-exoA-4-81-3
20221111-JC-471_HILIC_240,35-Rapeseed-3-exoA-1-82-3
20221111-JC-471_HILIC_241,201-Rapeseed-1-exoA-10-83-3
20221111-JC-471_HILIC_242,62-CerealRye-2-exoA-2-84-3
20221111-JC-471_HILIC_243,219-ControlSoil-3-exoA-15-85-3
20221111-JC-471_HILIC_QC038,qc038-qc-NA-exoA-NA-86-3